start_year,season,percentage
2018,Verano,10.609284639867338
2019,Verano,22.61432314205985
2020,Verano,43.51793314746282
2021,Verano,25.796905508987784
2022,Verano,21.657714394105163
2023,Verano,20.46253646854364
2024,Verano,22.35516593589223
2025,Verano,22.828043261579218
2018,Otoño,26.830359458003084
2019,Otoño,27.37935043926745
2020,Otoño,14.27947900627663
2021,Otoño,18.442976472470228
2022,Otoño,27.848177947652985
2023,Otoño,39.807992451711506
2024,Otoño,20.6339563993163
2025,Otoño,23.473939860178298
2018,Invierno,31.019648264157894
2019,Invierno,25.04254554386299
2020,Invierno,20.423121875526075
2021,Invierno,23.842208426888394
2022,Invierno,22.595941126642902
2023,Invierno,20.92032173048469
2024,Invierno,23.12232724919219
2025,Invierno,26.192912231441017
2018,Primavera,31.54070763797169
2019,Primavera,24.963780874809714
2020,Primavera,21.779465970734478
2021,Primavera,31.917909591653597
2022,Primavera,27.89816653159895
2023,Primavera,18.809149349260178
2024,Primavera,33.88855041559926
2025,Primavera,27.50510464680146
